bc_index;building_categories_index;climate_region_index;Af;gebaudebauweise_fbw;Hop;Htr_w;Hve;CM_factor;Am_factor;Tset;average_effective_area_wind_west_east_red_cool;average_effective_area_wind_south_red_cool;average_effective_area_wind_north_red_cool;spec_int_gains_cool_watt;hwb_norm;user_profile
186;3;1;151.969;60;80.05;81.447;42.989;398415.375;3.5;20;9.533;2.551;1.343;3;72.725;4
187;3;1;142.964;50;76.955;68.846;40.442;338121.656;3.5;20;8.049;2.012;1.118;3;72.123;4
188;3;1;149.278;30;67.34;113.02;42.228;213505.516;3;20;14.641;3.166;1.979;3;78.137;4
189;3;1;143.645;30;81.917;43.01;40.634;213505.516;3;20;4.667;1.167;0.648;3;68.896;4
190;3;1;151.571;30;64.75;107.127;42.876;213505.516;3;20;10.867;5.996;1.874;3;71.617;4
191;3;1;154.146;30;60.557;57.328;43.605;213505.516;3;20;8.1;2.168;1.141;3;53.143;4
192;3;1;152.423;30;56.722;64.686;43.117;213505.516;3;20;7.616;4.202;1.313;3;52.017;4
193;3;1;154.716;30;47.828;51.119;43.766;213505.516;3;20;8.532;1.845;1.153;3;43.229;4
194;3;1;151.438;20;36.715;86.187;42.839;148226.875;2.667;20;14.296;5.198;2.166;3;46.159;4
195;3;1;146.201;20;35.522;85.225;41.357;148226.875;2.667;20;14.095;5.125;2.136;3;46.818;4
196;3;1;170.843;20;37.063;97.936;48.328;148226.875;2.667;20;16.557;6.021;2.509;3;44.034;4
197;3;1;174.619;20;39.913;92.301;49.396;148226.875;2.667;20;15.878;5.774;2.406;3;42.795;4
198;3;1;168.428;20;37.546;90.4;47.645;148226.875;2.667;20;16.069;5.843;2.435;3;42.056;4
199;5;1;338.341;60;124.879;215.75;95.71;398415.375;3.5;20;21.925;11.52;3.716;3;61.926;4
200;5;1;318.3;50;120.99;183.518;90.041;338121.656;3.5;20;20.371;7.835;3.134;3;61.387;4
201;5;1;311.974;30;109.085;255.219;88.251;213505.516;3;20;25.468;15.463;4.548;3;69.362;4
202;5;1;369.127;30;100.799;415.059;104.419;213505.516;3;20;50.51;17.339;7.539;3;79.398;4
203;5;1;351.196;30;106.943;206.912;99.346;213505.516;3;20;20.82;12.054;3.653;3;56.02;4
204;5;1;408.553;30;103.225;249.225;115.571;213505.516;3;20;29.238;18.606;5.316;3;48.16;4
205;5;1;379.648;30;83.237;243.649;107.395;213505.516;3;20;36.131;10.996;5.236;3;48.788;4
206;5;1;380.643;30;69.337;197.391;107.676;213505.516;3;20;30.805;11.848;4.739;3;38.68;4
207;5;1;402.311;20;69.679;179.346;113.806;148226.875;2.667;20;25.339;15.385;4.525;3;35.825;4
208;5;1;348.114;20;62.602;163.527;98.475;148226.875;2.667;20;23.029;13.982;4.112;3;37.009;4
209;5;1;395.997;20;69.79;173.798;112.02;148226.875;2.667;20;24.871;15.1;4.441;3;35.624;4
210;5;1;316.493;20;59.946;145.698;89.53;148226.875;2.667;20;21.312;12.94;3.806;3;36.754;4
211;5;1;531.064;20;122.093;162.922;150.227;148226.875;2.667;20;23.715;14.399;4.235;3;35.013;4
212;6;1;674.343;60;207.789;358.918;190.758;398415.375;3.5;20;36.474;19.164;6.182;3;52.766;4
213;6;1;681.008;50;189.788;345.223;192.643;338121.656;3.5;20;38.77;14.911;5.965;3;50.197;4
214;6;1;622.298;30;156.605;439.301;176.036;213505.516;3;20;44.163;26.813;7.886;3;56.411;4
215;6;1;647.11;30;135.046;656.499;183.055;213505.516;3;20;80.196;27.53;11.97;3;68.96;4
216;6;1;671.68;30;142.702;362.08;190.005;213505.516;3;20;36.905;21.366;6.475;3;46.325;4
217;6;1;716.672;30;151.207;508.901;202.732;213505.516;3;20;60.431;38.456;10.987;3;48.779;4
218;6;1;721.126;30;134.051;419.114;203.992;213505.516;3;20;62.291;18.958;9.028;3;43.739;4
219;6;1;779.199;30;126.716;310.821;220.42;213505.516;3;20;48.224;18.548;7.419;3;34.06;4
220;6;1;668.798;20;109.936;246.134;189.19;148226.875;2.667;20;34.565;20.986;6.172;3;33.07;4
221;7;1;1528.129;60;374.196;629.736;432.277;398415.375;3.5;20;63.891;33.57;10.829;3;42.89;4
222;7;1;1599.172;50;409.702;612.702;452.374;338121.656;3.5;20;67.943;26.132;10.453;3;43.333;4
223;7;1;1238.428;30;337.979;666.666;350.327;213505.516;3;20;65.974;40.056;11.781;3;50.951;4
224;7;1;1812.347;30;362.662;1258.398;512.677;213505.516;3;20;152.428;52.326;22.75;3;53.243;4
225;7;1;2267.472;30;364.222;894.335;641.423;213505.516;3;20;91.031;52.702;15.97;3;36.821;4
226;7;1;1740.503;30;294.646;952.195;492.353;213505.516;3;20;112.927;71.863;20.532;3;39.46;4
